gloss	plural	suffix	plural_stress_from_right	plural_outcome	singulars	singular_stress	singular_ids	plural_id	family_ids	plural_description	review_index	manual_lexical_note	reviewed_family_comparison	primary_check	morphological_assessment	final_vowel_accented	acute_count	suffix_accent_status
essence	ʌrʌkéh	-eh/-eɦ	1	stress-marked	"[""ʌrʌ́k""]"	[1]	"[""f_hjoglrilnruek""]"	f_ptj4nubgnxfa4	[]		117	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Final eh/eɦ is an independently identified suffix; compare final versus retained stem marks without defining membership by acute placement.	1	1	final-accent-only
fruit	me:vé:	other	1	stress-marked	"[""me:ʋá:; me:vá:""]"	"[""""]"	"[""f_f5x4j2ogw4vzg""]"	f_zbzmn2qhtfwk6	[]		118	Fruit meva is an independently recorded regional loan comparison. The plural is an adapted vowel replacement; no Old Indo-Aryan inherited accent is claimed. Research comparison: meva (f_iizwuh3wokzh6), fruit. This links the root/lexeme, not each inflected cell directly to the old headword.	f_iizwuh3wokzh6	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	1	1	final-accent-only
jar (earthen pot)	ʈekeréh	-eh/-eɦ	1	stress-marked	[]	[]	[]	f_mcnpml5ugcd3c	[]		119	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Final eh/eɦ is an independently identified suffix; compare final versus retained stem marks without defining membership by acute placement.	1	1	final-accent-only
knife	kəɽá:reh	-eh/-eɦ	2	stress-marked	"[""kəɽá:r""]"	[1]	"[""f_rcf5jqujoi7ag""]"	f_iqv7ddbejfccw	[]		120	Knife item556 p95 has kəɽá:r/kəɽá:reh, stem stress. Item655 gives kʌɽá:r/kʌɽa:réh, suffix stress. Both readings are printed; treat the lexeme as conflicting. Research comparison: *karttāra (2860), knife. This links the root/lexeme, not each inflected cell directly to the old headword.	2860	exact printed passage inspected	Final eh/eɦ is an independently identified suffix; compare final versus retained stem marks without defining membership by acute placement.	0	1	stem-accent-only
knife	kʌɽa:réh	-eh/-eɦ	1	stress-marked	"[""kəɽá:r""]"	[1]	"[""f_rcf5jqujoi7ag""]"	f_a3os6ptruznxg	[]		121	Second knife entry has final plural stress; preserve its disagreement with item556 rather than selecting the regular-looking token. Research comparison: *karttāra (2860), knife. This links the root/lexeme, not each inflected cell directly to the old headword.	2860	exact printed passage inspected	Final eh/eɦ is an independently identified suffix; compare final versus retained stem marks without defining membership by acute placement.	1	1	final-accent-only
lid	khʌ́:ʈe	-e	2	stress-marked	"[""khʌ́:ʈo""]"	[2]	"[""f_worrk25b7gcye""]"	f_kn7lkvufotsp4	[]		122	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
opium	ʈʂʌŋúle	-e	2	stress-marked	"[""ʈʂʌŋúl""]"	[1]	"[""f_ulrmn54sccmlm""]"	f_3svjlv7bun6t2	[]		123	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
scissors	dukʌ́ʈeh	-eh/-eɦ	2	stress-marked	"[""dukʌ́ʈ""]"	[1]	"[""f_ybweopslpgxhi""]"	f_5rpl6sb2pkv3a	[]		124	Scissors dukʌ́ṭ/dukʌ́ṭeh retains stem stress despite final eh. The vocabulary prints it this way. A possible lexical compound/dual origin does not yet establish why its suffix differs.		exact printed passage inspected	Final eh/eɦ is an independently identified suffix; compare final versus retained stem marks without defining membership by acute placement.	0	1	stem-accent-only
sieve	dʌlí:ʐe	-e	2	stress-marked	"[""dʌlí:ʂ""]"	[1]	"[""f_4lsmumlswf2co""]"	f_fj5ceb3doi2iy	[]		125	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
soup	ʌzuméh	-eh/-eɦ	1	stress-marked	"[""ʌzúm""]"	[1]	"[""f_hkz7hffq2szkg""]"	f_ghowlfd4n23xu	[]		126	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Final eh/eɦ is an independently identified suffix; compare final versus retained stem marks without defining membership by acute placement.	1	1	final-accent-only
spoon ] pl.	khʌpẽ́ẽ	other	1	stress-in-vowel-sequence	"[""khʌpẽ́ĩ""]"	[2]	"[""f_hydyfszb6k6re""]"	f_wfrbrtbbb4oxi	[]		127	Spoon has nasalized vowel sequences and an incomplete gloss boundary. Inflection is visible but nucleus/mora interpretation is unresolved.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
strainer	ʦhákse	-e	2	stress-marked	"[""ʦháks""]"	[1]	"[""f_jtmas7l5v2lhe""]"	f_7ijliohlmh3ui	[]		128	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
tin	ɖʌbé:	other	1	stress-marked	"[""ɖʌbá:""]"	[1]	"[""f_nyqeg2vcob6wq""]"	f_uu264cao7gztc	[]		129	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	1	1	final-accent-only
tongs	mɛlɛnéh	-eh/-eɦ	1	stress-marked	"[""mɛlʌn""]"	"[""""]"	"[""f_loe2imezt7kh4""]"	f_e4gcb5imtxh4u	[]		130	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Final eh/eɦ is an independently identified suffix; compare final versus retained stem marks without defining membership by acute placement.	1	1	final-accent-only
bell	gʌɳʈyé:	other	1	stress-marked	"[""gʌɳʈí:""]"	[1]	"[""f_qkbzfrjviajvi""]"	f_e2bguirhh2ijy	[]		131	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	1	1	final-accent-only
bracelet	ká:	other	1	stress-marked	"[""ká:v""]"	[1]	"[""f_447ythuj4emuk""]"	f_meqhrljhbzn2c	[]		132	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone. Research comparison: káṭa (2629), twist of straw, mat. This links the root/lexeme, not each inflected cell directly to the old headword.	2629	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	1	1	final-accent-only
cap	khóe	-e	2	stress-in-vowel-sequence	"[""khói""]"	[2]	"[""f_xo2vjxetkowja""]"	f_fivotdegzip3e	[]		133	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone. Research comparison: khōla (3942), a kind of hat; helmet. This links the root/lexeme, not each inflected cell directly to the old headword.	3942	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
chappals (foot-wear)	khʌɽʌké	-e	1	stress-marked	"[""khʌ́ɽʌk""]"	[2]	"[""f_hc32ymzcy4doo""]"	f_husvpfqugth7i	[]		134	Footwear khʌ́ɽʌk/khʌɽʌké retracts neither accent nor quantity uniformly; its plural shifts to final e. No independent class feature yet distinguishes it from stem-retaining e nouns.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	1	1	final-accent-only
cloak	ʈʂhí:le	-e	2	stress-marked	"[""ʈʂhí:li""]"	[2]	"[""f_4bysbipckqyoc""]"	f_xnfilqr25texs	[]		135	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
coat	ko:ʈéh	-eh/-eɦ	1	stress-marked	"[""ko:ʈ""]"	"[""""]"	"[""f_6pgpfom5dymzk""]"	f_vz3d2qi2jwqwe	[]		136	Coat ko:ṭ is compatible with the English/regional loan coat. Its -eh plural is fully integrated into Dras suffix stress; lexical origin is a contact lead, not an established historical sound correspondence.		database source citation and candidate lexemes inspected	Final eh/eɦ is an independently identified suffix; compare final versus retained stem marks without defining membership by acute placement.	1	1	final-accent-only
crutch	ɖɪŋárye	-e	2	stress-marked	"[""ɖɪŋári""]"	[2]	"[""f_ulwtwalqtbshq""]"	f_nqn5ozyhgxrn6	[]		137	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
emerald	yu:e	-e		unmarked	"[""yu:""]"	"[""""]"	"[""f_buoc5rdnwrq24""]"	f_rubb3auhnspxc	[]		138	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	0	unmarked
fiber	ʤʌʈe	-e		unmarked	[]	[]	[]	f_uhwdrq56rfzo2	[]		139	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	0	unmarked
flute	tʌrué	-e	1	stress-in-vowel-sequence	"[""tʌruí""]"	[1]	"[""f_w3pxdtw5hdpg2""]"	f_psc3h42sx2hwq	[]		140	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	1	1	final-accent-only
iron	ʧímere	-e	3	stress-marked	"[""ʧímer""]"	[2]	"[""f_oluqmlc32qmps""]"	f_z2mtqpgcbzzps	[]		141	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone. Research comparison: cīmara (4842a), copper. This links the root/lexeme, not each inflected cell directly to the old headword.	4842a	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
loom	ʈʂó:ʐe	-e	2	stress-marked	"[""ʈʂó:ʂ""]"	[1]	"[""f_fxxzkuemkc7ok""]"	f_vj3nyaqm2f3ys	[]		142	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
necklace	ʃʌríʐe	-e	2	stress-marked	"[""ʃʌríʂo""]"	[2]	"[""f_uah3ezd3g2mfu""]"	f_us56hvhbkuvls	[]		143	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
needle	sue	-e		unmarked	"[""su:""]"	"[""""]"	"[""f_wa7tbs4la2kz6""]"	f_qprxswqpj7bk2	"[""13551""]"		144	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone. Research comparison: sūcī́ (13551), needle. This links the root/lexeme, not each inflected cell directly to the old headword.	13551	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	0	unmarked
nose ring	nʌtiŋéh	-eh/-eɦ	1	stress-marked	"[""nʌtíŋ""]"	[1]	"[""f_lsfsgik6xksec""]"	f_4stfspoodjzsk	[]		145	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Final eh/eɦ is an independently identified suffix; compare final versus retained stem marks without defining membership by acute placement.	1	1	final-accent-only
pyjama	ʦʌlen(i)yé	-e	1	stress-marked	[]	[]	[]	f_foycuwz7oefdq	[]		146	Pyjama has a parenthesized optional segment. Preserve as a variant expression and exclude from a single-form count.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	1	1	final-accent-only
pearl	motikéh	-eh/-eɦ	1	stress-marked	"[""motík""]"	[1]	"[""f_x3r5g6gsmkivk""]"	f_k72kyjfdrm3li	[]		147	Pearl motik suggests a regional motī plus k formation; māṇiya is not accepted from the shared pearl gloss alone.		database source citation and candidate lexemes inspected	Final eh/eɦ is an independently identified suffix; compare final versus retained stem marks without defining membership by acute placement.	1	1	final-accent-only
pocket (men’s dress)	ʂʌturéh	-eh/-eɦ	1	stress-marked	"[""ʂʌ́tur""]"	[2]	"[""f_rtsnrtco7fqw2""]"	f_dudleeknp4xx2	[]		148	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Final eh/eɦ is an independently identified suffix; compare final versus retained stem marks without defining membership by acute placement.	1	1	final-accent-only
razor	khuruéh	-eh/-eɦ	1	stress-in-vowel-sequence	[]	[]	[]	f_iemobsxjdd7zy	[]		149	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Final eh/eɦ is an independently identified suffix; compare final versus retained stem marks without defining membership by acute placement.	1	1	final-accent-only
ring	ʤó:le	-e	2	stress-marked	[]	[]	[]	f_la54ovr4puw2y	[]		150	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
sandals	ʦʌ́:pye	-e	2	stress-marked	"[""ʦʌ́:pi""]"	[2]	"[""f_6dzjzrxe45be6""]"	f_zp463g54kv2qu	[]		151	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
sapphire ] sg.	niliméh	-eh/-eɦ	1	stress-marked	"[""nilím""]"	[1]	"[""f_sqwddsib45c3q""]"	f_awqltptutjrri	[]		152	Sapphire nilim resembles regional nīlam. The plural has suffix stress; an inherited nīla-derived analysis and a loan route remain alternatives.		database source citation and candidate lexemes inspected	Final eh/eɦ is an independently identified suffix; compare final versus retained stem marks without defining membership by acute placement.	1	1	final-accent-only
sari	dʌχonéh	-eh/-eɦ	1	stress-marked	"[""dʌχón""]"	[1]	"[""f_bvmkb6j2kqtn2""]"	f_2bwy7m7bjotym	[]		153	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Final eh/eɦ is an independently identified suffix; compare final versus retained stem marks without defining membership by acute placement.	1	1	final-accent-only
scarf	gulbʌnéh	-eh/-eɦ	1	stress-marked	"[""gulbʌ́n""]"	[1]	"[""f_m2nwfouvq4cvk""]"	f_4y7wtilqxyntg	[]		154	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Final eh/eɦ is an independently identified suffix; compare final versus retained stem marks without defining membership by acute placement.	1	1	final-accent-only
shirt	kurte:néh	-eh/-eɦ	1	stress-marked	[]	[]	[]	f_oauven4fzguem	[]		155	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Final eh/eɦ is an independently identified suffix; compare final versus retained stem marks without defining membership by acute placement.	1	1	final-accent-only
sleeve	boe	-e		unmarked	[]	[]	[]	f_mgo4cja3bf6yw	[]		156	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone. Research comparison: bāhú (9229), arm. This links the root/lexeme, not each inflected cell directly to the old headword.	9229	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	0	unmarked
soap	sʌbonéh	-eh/-eɦ	1	stress-marked	"[""sʌbón""]"	[1]	"[""f_7kokljmkjbvsm""]"	f_e4wfxhxxlviiy	[]		157	Soap sabon is a regional loan-shaped stem and takes final-stressed eh; no Vedic-accent ancestry is asserted.		database source citation and candidate lexemes inspected	Final eh/eɦ is an independently identified suffix; compare final versus retained stem marks without defining membership by acute placement.	1	1	final-accent-only
spindle	ʈʂʌké	-e	1	stress-marked	"[""ʈʂʌ́ku"", ""ʈʂʌ́:ku""]"	[2, 2]	"[""f_5d72cclmt7l46"", ""f_ysyhdyver23ia""]"	f_gb7m6nfe64ohg	[]		158	Spindle item690 has final-stressed ʈʂʌké, whereas item1001 and the grammar have root-stressed ʈʂʌ́ke. Retain the same-lexeme conflict and the SG quantity difference. Research comparison: tarkú (5717), spindle. This links the root/lexeme, not each inflected cell directly to the old headword.	5717	exact printed passage inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	1	1	final-accent-only
spindle	ʈʂʌ́ke	-e	2	stress-marked	"[""ʈʂʌ́ku"", ""ʈʂʌ́:ku""]"	[2, 2]	"[""f_5d72cclmt7l46"", ""f_ysyhdyver23ia""]"	f_nq6p42kelcg7a	[]		159	The second spindle plural has root stress; it agrees with the grammar example and conflicts with item690. More tokens do not resolve the disagreement. Research comparison: tarkú (5717), spindle. This links the root/lexeme, not each inflected cell directly to the old headword.	5717	exact printed passage inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
stick	ɖʌkéh	-eh/-eɦ	1	stress-marked	[]	[]	[]	f_hgz47tg3rmys6	[]		160	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Final eh/eɦ is an independently identified suffix; compare final versus retained stem marks without defining membership by acute placement.	1	1	final-accent-only
sword	khʌŋa:ré	-e	1	stress-marked	"[""khʌŋá:r""]"	[1]	"[""f_kd3h3d5l3kcyo""]"	f_uxumlw3fuxqsu	[]		161	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	1	1	final-accent-only
turban	pʌʂé	-e	1	stress-marked	"[""pʌʂó:""]"	[1]	"[""f_uynfp64stywzw""]"	f_bzfulyr6vwmeq	[]		162	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	1	1	final-accent-only
attic	gó:ʐe	-e	2	stress-marked	"[""gó:ʂ""]"	[1]	"[""f_tjgeomu5dimcu""]"	f_bi4ihsd6x3ncc	[]		163	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone. Research comparison: gōṣṭhá (4336), cow-house; meeting place. This links the root/lexeme, not each inflected cell directly to the old headword.	4336	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
beam (of light)	bʌmʌléh	-eh/-eɦ	1	stress-marked	"[""bʌmʌ́l""]"	[1]	"[""f_oh6t2a6rgyf3y""]"	f_qthr2jxsdmfpg	[]		164	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Final eh/eɦ is an independently identified suffix; compare final versus retained stem marks without defining membership by acute placement.	1	1	final-accent-only
blanket	kʌmbʌléh	-eh/-eɦ	1	stress-marked	"[""kʌmbʌ́l""]"	[1]	"[""f_czeo7n45f2t2q""]"	f_u6isuhqvgy7ny	[]		165	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Final eh/eɦ is an independently identified suffix; compare final versus retained stem marks without defining membership by acute placement.	1	1	final-accent-only
bolster (pillow)	uné:h	other	1	stress-marked	[]	[]	[]	f_v4jakzxmxjxm6	[]	pl. (to lean back	166	Bolster uné:h has final long e plus h. It is listed separately from the short-eh screen because segmental identity of the suffix is not established by spelling alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	1	1	final-accent-only
brick	diʂʈikéh	-eh/-eɦ	1	stress-marked	"[""diʂʈík""]"	[1]	"[""f_addczkrfwb2aw""]"	f_vkbejbn4friau	[]		167	Brick diṣṭik resembles iṣṭakā with an additional initial d and modified suffix. This is a provisional root comparison, excluded from strict historical-accent tests. Research comparison: íṣṭakā (1600), brick. This links the root/lexeme, not each inflected cell directly to the old headword.	1600	database source citation and candidate lexemes inspected	Final eh/eɦ is an independently identified suffix; compare final versus retained stem marks without defining membership by acute placement.	1	1	final-accent-only
broom	lo:ʃyéh	-eh/-eɦ	1	stress-marked	"[""ló:ʃi""]"	[2]	"[""f_2n6akgtbqjtom""]"	f_shs2jqqn6wazy	[]		168	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Final eh/eɦ is an independently identified suffix; compare final versus retained stem marks without defining membership by acute placement.	1	1	final-accent-only
building	lʌ́ite	-e	3	stress-in-vowel-sequence	"[""lʌ́iti""]"	[3]	"[""f_aysnbwk3dth4c""]"	f_x5drlir7dvn2q	[]		169	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
carpet	ka:lí:ne	-e	2	stress-marked	"[""qa:lí:n""]"	[1]	"[""f_dwkylipwfs3la""]"	f_s2chcuf4ni2d6	[]		170	Carpet qali:n/kali:ne shows q/k variation and preserves stem stress. It is a regional loan-shaped stem; -e does not automatically attract stress.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
chair	kurʧéh	-eh/-eɦ	1	stress-marked	"[""kurʧí:""]"	[1]	"[""f_o3uoyt5r2tfue""]"	f_cdgjerzp5dg5i	[]		171	Chair kurči resembles regional kursī. The -eh replacement is final-stressed; unrelated chair gloss comparisons are rejected.		database source citation and candidate lexemes inspected	Final eh/eɦ is an independently identified suffix; compare final versus retained stem marks without defining membership by acute placement.	1	1	final-accent-only
hinge	kʌbzé:	other	1	stress-marked	"[""kʌbzá:""]"	[1]	"[""f_f7jeq2kd2foqs""]"	f_j5bl5v4prohrq	[]		172	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	1	1	final-accent-only
hut	ɖu:kuréh	-eh/-eɦ	1	stress-marked	"[""ɖú:kur""]"	[2]	"[""f_cjd5xhclh4cdy""]"	f_fwoaz3vsjdvl6	[]		173	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Final eh/eɦ is an independently identified suffix; compare final versus retained stem marks without defining membership by acute placement.	1	1	final-accent-only
latch (lock-on)	kuʦuréh	-eh/-eɦ	1	stress-marked	"[""kuʦúr""]"	[1]	"[""f_2itf6l4ihbzho""]"	f_uvkfzcna37yuw	[]	pl. Latch (moving part	174	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Final eh/eɦ is an independently identified suffix; compare final versus retained stem marks without defining membership by acute placement.	1	1	final-accent-only
lock	ʧhʌylo:léh	-eh/-eɦ	1	stress-marked	"[""ʧhʌyló:l""]"	[1]	"[""f_ct5arfkjpfylo""]"	f_sjwvxdkodgm4g	[]		175	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Final eh/eɦ is an independently identified suffix; compare final versus retained stem marks without defining membership by acute placement.	1	1	final-accent-only
mat (general)	ʧhʌryéh	-eh/-eɦ	1	stress-marked	"[""ʧhʌrí:"", ""ʧhʌstʌ́n"", ""zʌŋgóʂ""]"	[1, 1, 1]	"[""f_j5fk3stiyjaug"", ""f_td7ttoh5lz5sg"", ""f_eidlzyufig4pe""]"	f_lqwnrkdjyk7wc	[]	general, pl	176	The mat gloss groups three different nouns. Pair chhari only with chharyeh; the other mat nouns are not allomorphs selected by accent.		database source citation and candidate lexemes inspected	Final eh/eɦ is an independently identified suffix; compare final versus retained stem marks without defining membership by acute placement.	1	1	final-accent-only
mat (general)	ʧhʌstʌn zʌŋgóʂ	other	1	stress-marked	"[""ʧhʌrí:"", ""ʧhʌstʌ́n"", ""zʌŋgóʂ""]"	[1, 1, 1]	"[""f_j5fk3stiyjaug"", ""f_td7ttoh5lz5sg"", ""f_eidlzyufig4pe""]"	f_rda63r7v3rdr4	[]	grass, pl	177	The purported plural is a multiword mat expression combining separate lexemes. Exclude from the simplex paradigm test.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	1	1	final-accent-only
